title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
Man's Search for Meaning,Viktor E. Frankl and William J. Winslade,Paperback,$6.59,$10.99,9780807014295,Beacon Press; 1 edition,06/01/06,184,4.2(w) x 6.7(h) x 0.5(d)
"Cracking the AP World History Exam 2019, Premium Edition: 5 Practice Tests + Complete Content Review (College Test Preparation)",The Princeton Review ,Paperback,$17.20,$25.99,9781524758172,Princeton Review; Premium edition,08/07/18,560,8.4(w) x 10.8(h) x 1.3(d)
The Pioneers: The Heroic Story of the Settlers Who Brought the American Ideal West,David McCullough ,Hardcover,$19.49,$30.00,9781501168680,Simon & Schuster,05/07/19,352,9.2(w) x 9.2(h) x 6.2(d)
Astrophysics for People in a Hurry,Neil deGrasse Tyson ,Hardcover,$13.26,$18.95,9780393609394,W. W. Norton & Company; 1 edition,05/02/17,224,7.3(w) x 0.9(h) x 4.8(d)
The Library Book,Susan Orlean ,Hardcover,$19.60,$28.00,9781476740188,Simon & Schuster; First Edition edition,10/16/18,336,6.2(w) x 9.2(h) x 1.1(d)
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance ,Paperback,$13.49,$16.99,9780062300553,Harper Paperbacks; Reprint edition,05/01/18,288,5.3(w) x 8(h) x 0.7(d)
21 Lessons for the 21st Century,Yuval Noah Harari ,Hardcover,$16.69,$28.00,9780525512172,Spiegel & Grau; 1st Edition edition,09/04/18,400,6.4(w) x 9.5(h) x 1.2(d)
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann ,Paperback,$12.71,$16.95,9780307742483,Vintage; Reprint edition,04/03/18,400,5.2(w) x 8(h) x 0.8(d)
Come as You Are: The Surprising New Science that Will Transform Your Sex Life,Emily Nagoski Ph.D. ,Paperback,$11.55,$17.99,9781476762098,Simon & Schuster; 1 edition,03/03/15,416,6(w) x 9(h) x 1.1(d)
"Dissolving Illusions: Disease, Vaccines, and The Forgotten History",Suzanne Humphries MD and Roman Bystrianyk ,Paperback,$22.80,$24.00,9781480216891,CreateSpace Independent Publishing Platform; 6/27/13 edition,07/27/13,504,6(w) x 9(h) x 1.2(d)
Ten Caesars: Roman Emperors from Augustus to Constantine,Barry Strauss ,Hardcover,$16.80,$28.00,9781451668834,Simon & Schuster,03/05/19,432,6(w) x 9(h) x 1.3(d)
Infinite Powers: How Calculus Reveals the Secrets of the Universe,Steven Strogatz ,Hardcover,$18.30,$28.00,9781328879981,Houghton Mifflin Harcourt,04/02/19,384,9(w) x 9(h) x 6(d)
"Five Presidents: My Extraordinary Journey with Eisenhower, Kennedy, Johnson, Nixon, and Ford",Clint Hill and Lisa McCubbin ,Paperback,$16.20,$18.00,9781476794143,Gallery Books; Reprint edition,05/02/17,464,6(w) x 9(h) x 1.1(d)
The Back Channel: A Memoir of American Diplomacy and the Case for Its Renewal,William J. Burns ,Hardcover,$20.69,$32.00,9780525508861,Random House,03/12/19,512,6.4(w) x 9.6(h) x 1.5(d)
How to Hide an Empire: A History of the Greater United States,Daniel Immerwahr ,Hardcover,$19.49,$30.00,9780374172145,"Farrar, Straus and Giroux; First Edition edition",02/19/19,528,6.4(w) x 9.4(h) x 1.7(d)
"Billion Dollar Whale: The Man Who Fooled Wall Street, Hollywood, and the World",Tom Wright and Bradley Hope ,Hardcover,$18.30,$28.00,9780316436502,Hachette Books,09/18/18,400,6.4(w) x 9.3(h) x 1.6(d)
Leadership: In Turbulent Times,Doris Kearns Goodwin ,Hardcover,$17.95,$30.00,9781476795928,Simon & Schuster; First Edition/First Printing edition,09/18/18,496,6.1(w) x 9.2(h) x 1.3(d)
The Theft of America’s Soul: Blowing the Lid Off the Lies That Are Destroying Our Country,Phil Robertson ,Hardcover,$12.77,$24.99,9781400210046,Thomas Nelson,02/05/19,224,6.2(w) x 9.3(h) x 0.8(d)
The Mueller Report,The Washington Post ,Paperback,$10.50,$15.00,9781982129736,Scribner,04/30/19,720,6(w) x 9(h)
The Chief: The Life and Turbulent Times of Chief Justice John Roberts,Joan Biskupic ,Hardcover,$20.69,$32.00,9780465093274,Basic Books,03/26/19,432,6.4(w) x 9.6(h) x 1.5(d)
Churchill: Walking with Destiny,Andrew Roberts ,Hardcover,$25.47,$40.00,9781101980996,Viking,11/06/18,1152,6.4(w) x 9.6(h) x 2.2(d)
"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder ,Paperback,$10.91,$17.00,9781476755748,Simon & Schuster; Reprint edition,10/20/15,416,5.5(w) x 8.4(h) x 1(d)
Spies of No Country: Secret Lives at the Birth of Israel,Matti Friedman ,Hardcover,$17.67,$26.95,9781616207229,Algonquin Books,03/05/19,272,5.8(w) x 8.3(h) x 1.1(d)
Licensed to Lie,Sidney Powell ,Paperback,$13.36,$19.95,9781732767607,"Sidney Powell; Second Edition,New edition edition",10/23/18,464,6(w) x 8.9(h) x 1.2(d)
